time_of_day,weather_condition,holidays,crowded
12,5,0,FALSE
20,2,0,TRUE
16,2,1,TRUE
13,5,1,TRUE
12,2,0,TRUE
16,4,0,TRUE
16,1,0,FALSE
9,1,1,TRUE
13,5,0,FALSE
8,3,0,TRUE
7,3,0,FALSE
17,1,1,TRUE
11,3,0,FALSE
7,5,1,FALSE
6,1,0,FALSE
17,4,0,FALSE
17,4,0,FALSE
22,3,0,FALSE
15,2,1,FALSE
21,5,0,FALSE
20,1,0,FALSE
20,5,1,TRUE
17,5,1,TRUE
8,5,1,FALSE
10,3,0,FALSE
12,2,1,TRUE
14,4,0,FALSE
12,3,0,FALSE
9,2,1,TRUE
19,2,0,TRUE
14,5,0,FALSE
7,1,0,TRUE
20,4,1,FALSE
12,4,0,FALSE
17,3,1,TRUE
13,3,1,TRUE
20,3,1,TRUE
8,3,1,TRUE
19,3,1,TRUE
22,1,0,FALSE
9,1,0,FALSE
13,2,0,FALSE
9,2,1,TRUE
7,3,0,FALSE
11,4,0,FALSE
15,3,0,FALSE
9,4,0,FALSE
17,4,1,FALSE
7,1,0,TRUE
15,2,1,TRUE
9,4,0,FALSE
19,2,1,TRUE
21,2,0,FALSE
20,3,0,FALSE
13,2,0,FALSE
19,5,1,FALSE
13,5,0,FALSE
21,2,0,FALSE
18,5,1,TRUE
20,2,0,FALSE
18,4,1,TRUE
14,1,1,TRUE
20,3,0,FALSE
18,3,1,TRUE
6,3,1,TRUE
12,1,0,FALSE
14,5,1,TRUE
6,2,1,TRUE
17,5,0,FALSE
13,3,1,TRUE
16,2,1,TRUE
22,3,0,FALSE
13,2,0,FALSE
8,1,0,TRUE
8,4,0,TRUE
6,1,0,FALSE
10,5,1,TRUE
15,3,1,TRUE
12,1,1,TRUE
14,4,0,FALSE
12,3,0,FALSE
14,4,1,TRUE
13,5,0,FALSE
17,3,0,FALSE
7,1,1,TRUE
6,4,1,FALSE
21,2,1,TRUE
10,4,1,FALSE
8,5,0,FALSE
17,2,0,FALSE
13,4,1,TRUE
8,3,0,TRUE
6,5,1,FALSE
8,2,1,TRUE
10,5,0,FALSE
20,4,1,TRUE
19,3,0,FALSE
8,2,0,TRUE
6,1,0,FALSE
10,2,0,FALSE
19,3,0,FALSE
12,3,0,FALSE
14,2,0,FALSE
